,qid,query,thai_reduced_cleaned
0,687888,what is a jpe,เพลงประเภทใดที่ถือว่าถูกรบกวนเสียงเงียบ 
1,480210,price for asphalt driveway,มะพร้าวผันผวนหมายถึงอะไร 
2,591004,what causes pressure skin bruising,ทีวีซีรีส์เปิดตัว Outlander เมื่อใด 
3,260536,how long drive from flagstaff to grand canyon,รายได้นักเต้นระบำเปลื้องผ้าโดยเฉลี่ย 
4,39422,average number of bowel movements per day for adults,ทะเลสีขาวอยู่ที่ไหน 
5,400614,is a personality disorder a mental illness,วัชพืชในหญ้าคืออะไร 
6,79798,can you stick weld aluminum,ข้อกำหนดการรับเข้าชม SMU สำหรับน้องใหม่ 
7,92082,cholesterol and triglycerides are because of thyroid meds,ทำไมบาดแผลขาใช้เวลานานกว่าที่จะรักษา 
8,120204,define detailed design (software),ใครคือ Jesse Snider 
9,133639,definition of cosmic,อะไรคือสิ่งที่เป็นสีดำระหว่างฟัน 
10,882355,what nutrient makes grass greener,สนามบินขนาดใหญ่ในลาสเวกัสคืออะไร 
11,510587,tartrazine what is it,การรับปริญญาเอกนานเท่าไหร่ 
12,829202,what is the main airport in turks and caicos beaches,Ashley Furniture จ่ายเท่าใด 
13,7957,when did costco begin,ชีพจรปกติคืออะไร 
14,180005,emitter meaning,วิธีสร้างปฏิทินใน Illustrator 
15,947184,when does nfl network nfl training camp coverage?,ควรใช้แท็ก HTML กี่แท็กในหน้าเว็บอย่างง่าย 
16,1159641,what essiac tea help,น้ำส้มสายชูแอปเปิ้ลไซเดอร์ส่งผลต่อผิวของคุณอย่างไร 
17,980944,where is dale earnhardt buried,AEMT คืออะไร 
18,813636,what is the currency of buenos aires,หมายเลขโทรโดยตรง 
19,882382,what nutrients are in bacon,ประเภทนิยามทฤษฎีประจำตัว 
20,1154403,what is james buchanan accomplishments in office,ค่าใช้จ่ายเฉลี่ยของ parathyroidectomy ใน mi 
21,1049686,who sang almost paradise,ความสมดุลของผลกระทบการชำระเงินคืออะไร 
22,698650,what is a russet potato,หมายความว่าอะไรพร้อมกัน 
23,808360,what is the best medication for chlamydia,อวัยวะใดที่ลงมาจากกรงซี่โครงโดยตรง 
24,866027,what kind doctor treat sciatic pain,เพาเวอร์คอนดิชั่นเนอร์ทำอะไร 
25,943469,when do babies stand on their own,ใช้เวลานานแค่ไหนในการรับ Paycheck สุดท้ายจากกองทัพ 
26,623730,what do knee wraps do,หน้าที่ผู้บริหารเกี่ยวกับการทำกฎหมายในรัฐบาลคืออะไร 
27,234369,how fast is the speed of lighting in mach,ค่าใช้จ่ายของพี่เลี้ยงต่อชั่วโมง 
28,685501,what is a good substitute for coconut oil,การสอบถามข้อมูลอย่างหนักมีผลต่อคะแนนเครดิตนานเท่าใด 
29,1142083,define whiteout,จัตุรัสเทียนอันเหมินอยู่ที่ไหน 
30,946269,when does dade county. school start,เกิดอะไรขึ้นกับบุคคลที่ตกใจ 
31,1139942,which hotel chain owns aloft,เป็น organs ต่อมน้ำเหลือง 
32,242386,how long can pee be stored,ตัวแทนประกันภัยทำรายได้เท่าใด 
33,875608,what makes my water smell like onion,เมืองที่ซากปรักหักพังของมาชูปิกชูตั้งอยู่ที่ทวีป 
34,917143,what vitamins are good for dandruff,กาตาร์คืออะไร 
35,549979,what affects the direction of a current moving through a wire,คือการส่องกล้อง lamisil 
36,28452,at what age does your brain mature,Seroquel สามารถทำให้เกิดนิ่วในไต 
37,417380,is mark applier?,คุณสามารถซื้อบัตรสีเขียวอเมริกันได้ไหม 
38,971455,where do pythons live,Amanpulo อยู่ที่ไหน 
39,1176648,how much to frame metal stud wall,นานแค่ไหนที่ควรทำอาหาร Farro 
40,127412,define standard operating procedure template,อาการของ EGR ล้มเหลวเปิด 
41,207839,how are the electric companies justified to charge for solar power,มณฑลอะไรคือ ramsey mn 
42,27675,asthma is described as,เกิดอะไรขึ้นในการตั้งครรภ์สัปดาห์ต่อสัปดาห์ 
43,581328,what can cause loose stool in horses,มณฑลอะไรคือ Sweetwater TN 
44,776949,what is nitrous oxide,ตั้งอยู่ที่ไหน Belleville Illinois 
